ten_gpa,twelth_gpa,colz_gpa,nimcet_marks,psqt_gpa,me_gpa,co_gpa,pscp_gpa,pscp_lab_gpa,foss_lab_gpa,sgpa1,afm_gpa,ds_gpa,ss_gpa,oops_gpa,aad_gpa,ds_lab_gpa,ss_lab_gpa,oops_lab_gpa,sgpa2,cgpa2,os_gpa,dbms_gpa,wt_gpa,ospm_gpa,ads_gpa,os_lab_gpa,dbms_lab_gpa,wt_lab_gpa,sgpa3,cgpa3,pdwdm_gpa,ccn_gpa,se_gpa,ooad_gpa,dos_gpa,ke_lab_gpa,ccn_lab_gpa,set_lab_gpa,sgpa4,cgpa4,nps_gpa,uc_gpa,cc_gpa,dpsa_gpa,stt_gpa,seminar_viva_gpa,nps_lab_gpa,stt_lab_gpa,sgpa5,cgpa5,project_gpa,cgpa_final
8.3,7.66,6.71,476.64,8,6,8,5,6,5,6.43,8,7,5,7,7,8,7,8,7.12,6.77,8,6,8,7,7,9,7,8,7.5,7.02,5,7,8,6,7,5,6,7,6.38,6.86,5,8,7,7,9,7,6,10,7.38,6.96,9,7.3
9.19,9.12,9.24,771.9,9,10,10,10,10,10,9.71,9,9,10,10,10,9,9,9,9.38,9.55,9,10,8,10,8,10,9,9,9.12,9.4,8,8,9,10,9,7,7,10,8.5,9.18,7,8,9,8,8,9,7,9,8.12,8.97,8,8.81
7.3,7.27,6.96,394.8,6,7,5,8,7,10,7.0,7,6,8,7,6,5,10,7,7.0,7.0,6,5,5,7,6,7,5,5,5.75,6.58,6,7,6,8,6,7,8,7,6.88,6.66,8,6,7,7,6,6,6,5,6.38,6.6,7,6.67
5.25,7.26,6.56,642.56,5,6,7,7,8,7,6.43,6,5,6,8,6,6,7,7,6.38,6.4,7,5,5,8,6,8,5,5,6.12,6.31,5,6,6,6,6,5,5,7,5.75,6.17,6,7,7,5,7,8,7,8,6.88,6.31,6,6.26
7.56,6.24,7.14,399.16,8,7,6,6,5,7,6.43,7,8,6,5,8,8,6,5,6.62,6.52,6,5,7,9,8,5,6,7,6.62,6.56,6,6,5,6,7,5,7,6,6.0,6.42,7,6,6,6,5,6,6,6,6.0,6.33,5,6.11
5.79,5.59,5.15,561.33,7,5,7,6,7,6,6.14,8,6,6,6,6,8,8,8,7.0,6.57,7,7,9,5,6,7,8,10,7.38,6.84,8,7,6,7,6,8,7,5,6.75,6.82,6,6,6,7,6,8,5,5,6.12,6.68,5,6.4
5.34,6.23,5.17,415.04,8,8,8,8,8,7,7.57,8,9,8,7,8,10,8,6,8.0,7.79,9,6,10,9,9,9,5,10,8.38,7.98,6,6,5,7,7,6,5,5,5.88,7.46,7,8,7,7,6,7,7,6,6.88,7.34,5,6.95
6.63,5.05,7.56,550.35,8,8,8,7,6,8,7.71,8,8,9,9,9,8,9,10,8.75,8.23,8,10,7,8,7,8,10,6,8.0,8.15,8,8,9,5,7,7,9,10,7.88,8.09,8,10,9,6,9,10,9,8,8.62,8.19,7,7.99
7.11,7.07,5.97,545.39,6,6,7,7,6,8,6.71,6,8,9,7,5,8,10,8,7.62,7.17,7,10,5,6,7,6,10,6,7.12,7.15,8,7,7,6,6,9,8,8,7.38,7.21,8,7,6,5,8,6,9,8,7.12,7.19,7,7.16
8.65,8.21,9.61,931.27,9,8,9,10,9,8,8.71,9,10,9,9,10,9,8,8,9.0,8.86,7,10,6,8,10,6,10,7,8.0,8.57,9,7,5,9,7,8,7,6,7.25,8.24,8,8,8,7,5,10,7,6,7.38,8.07,5,7.56
5.17,7.37,6.08,634.63,5,6,6,6,7,5,6.0,7,7,7,8,9,9,6,8,7.62,6.81,8,6,6,5,6,7,5,7,6.25,6.62,6,6,8,8,8,5,5,7,6.62,6.62,5,8,8,8,7,7,5,8,7.0,6.7,7,6.75
7.83,6.19,5.8,553.79,7,7,8,5,6,6,6.43,5,6,7,7,5,7,7,8,6.5,6.46,9,7,10,6,5,9,8,9,7.88,6.94,8,6,7,8,8,7,6,6,7.0,6.95,7,8,7,8,7,7,7,7,7.25,7.01,7,7.01
7.2,6.35,6.4,584.76,6,6,7,7,6,6,6.43,5,7,5,6,8,6,7,6,6.25,6.34,8,7,8,8,6,7,6,7,7.12,6.6,6,8,7,7,8,7,8,8,7.38,6.79,8,7,6,8,8,8,8,8,7.62,6.96,9,7.3
8.25,5.33,5.98,536.05,7,6,8,5,5,5,5.86,8,7,7,7,6,8,9,6,7.25,6.55,9,10,8,6,6,10,9,7,8.12,7.08,9,7,6,6,10,8,6,6,7.25,7.12,8,7,7,6,7,6,8,7,7.0,7.1,6,6.91
6.58,7.51,7.24,502.41,6,7,7,7,9,7,7.14,8,9,9,6,6,8,9,6,7.62,7.38,7,10,6,8,8,8,9,5,7.62,7.46,10,8,7,7,8,9,9,7,8.12,7.63,9,7,7,7,6,7,10,6,7.38,7.58,5,7.15
5.03,5.22,6.71,644.36,8,6,5,5,7,6,6.14,6,7,5,6,5,6,6,7,6.0,6.07,6,6,7,8,7,6,6,8,6.75,6.3,6,8,7,6,6,5,7,8,6.62,6.38,9,7,8,6,6,6,10,7,7.38,6.58,6,6.48
5.13,7.57,7.28,449.26,6,5,8,6,6,8,6.57,7,6,7,6,8,6,7,7,6.75,6.66,9,9,7,7,7,9,8,8,8.0,7.11,8,6,7,7,9,7,5,5,6.75,7.02,6,7,8,7,6,8,7,5,6.75,6.96,6,6.8
5.07,5.63,5.21,491.38,8,7,7,5,7,5,6.43,8,7,5,5,8,8,5,5,6.38,6.4,8,6,5,6,6,8,5,6,6.25,6.35,5,8,6,6,9,6,9,5,6.75,6.45,8,6,7,6,7,7,7,7,6.88,6.54,7,6.61
7.23,6.94,5.11,532.25,5,5,6,5,7,6,6.0,7,6,6,5,9,6,5,6,6.25,6.12,7,9,10,7,7,8,10,10,8.5,6.92,9,6,7,6,8,10,5,7,7.25,7.0,6,7,7,7,6,7,7,5,6.5,6.9,5,6.58
5.08,5.83,6.53,557.86,7,8,5,5,6,5,6.29,8,6,7,5,8,8,8,7,7.12,6.7,7,6,9,10,7,7,6,10,7.75,7.05,5,7,8,5,6,5,7,7,6.25,6.85,8,6,6,5,9,7,7,9,7.12,6.91,9,7.25
8.95,8.18,8.69,720.45,7,6,9,6,8,5,7.14,7,9,5,7,8,10,7,9,7.75,7.45,9,7,6,7,10,9,7,7,7.75,7.55,8,5,5,7,9,7,5,5,6.38,7.26,6,7,7,6,6,7,5,6,6.25,7.05,5,6.71
5.32,5.79,7.29,545.11,7,8,9,7,7,6,7.43,7,9,5,6,8,9,5,5,6.75,7.09,8,9,7,6,8,9,10,8,8.12,7.43,7,5,8,7,8,6,6,7,6.75,7.26,6,8,7,8,8,6,6,9,7.25,7.26,7,7.22
8.98,7.24,5.56,548.76,5,6,8,7,9,7,6.86,6,7,7,6,7,8,8,8,7.12,6.99,10,6,10,6,6,9,5,10,7.75,7.24,5,7,8,8,10,5,5,9,7.12,7.21,6,7,7,9,7,7,7,7,7.12,7.19,6,6.99
6.96,7.81,6.99,495.27,7,8,6,5,6,7,6.57,6,6,6,5,5,6,7,7,6.0,6.29,5,8,9,10,5,5,9,9,7.5,6.69,9,6,7,6,6,10,6,6,7.0,6.77,7,7,7,7,8,6,6,9,7.12,6.84,8,7.03
7.84,7.95,7.6,444.17,5,5,8,7,7,6,6.29,6,7,6,6,7,8,7,8,6.88,6.58,10,7,10,6,7,8,6,10,8.0,7.06,7,7,7,8,9,7,7,7,7.38,7.14,5,7,7,8,7,6,5,8,6.62,7.03,8,7.19
5.16,5.71,6.42,481.95,5,7,8,7,9,8,7.43,6,9,8,7,7,9,7,7,7.5,7.46,10,8,9,8,10,9,9,10,9.12,8.02,9,8,8,10,10,10,7,8,8.75,8.2,9,10,10,10,9,8,9,9,9.25,8.41,9,8.51
8.39,8.18,9.19,720.8,9,6,7,6,8,5,7.14,5,9,8,6,8,9,7,7,7.38,7.26,9,6,5,6,8,9,6,6,6.88,7.13,5,6,8,6,10,6,7,7,6.88,7.07,6,8,7,6,9,8,6,9,7.38,7.13,10,7.61
9.54,7.25,6.65,436.59,8,5,6,7,6,9,6.57,6,7,6,6,7,9,7,7,6.88,6.73,7,6,10,6,6,8,7,10,7.5,6.98,5,6,7,6,5,6,7,7,6.12,6.77,6,8,6,7,8,6,7,8,7.0,6.81,7,6.85
7.11,7.64,5.33,566.95,5,6,5,7,9,6,6.14,5,5,9,8,6,7,8,8,7.0,6.57,6,5,8,6,5,7,6,8,6.38,6.51,5,5,7,7,5,5,6,6,5.75,6.32,5,6,8,7,6,6,6,7,6.38,6.33,6,6.28
6.21,5.32,6.1,487.41,7,8,8,6,7,8,7.0,8,7,7,7,5,7,6,9,7.0,7.0,10,10,6,8,8,9,9,7,8.38,7.46,10,8,7,7,10,10,8,7,8.38,7.69,8,6,8,8,7,7,8,8,7.5,7.65,7,7.54
6.74,7.68,5.38,570.39,8,7,7,7,8,7,7.0,5,7,9,9,6,8,10,9,7.88,7.44,8,9,8,6,8,7,10,9,8.12,7.67,10,6,6,6,8,10,6,7,7.38,7.59,7,8,6,5,5,8,8,5,6.5,7.38,5,6.98
5.73,6.57,6.42,408.81,5,8,5,5,7,5,5.86,6,7,5,6,8,9,6,7,6.75,6.3,6,6,5,10,7,5,7,5,6.38,6.33,5,7,7,7,5,5,8,7,6.38,6.34,6,7,8,8,8,8,5,9,7.38,6.55,7,6.62
8.43,8.48,8.71,917.59,9,10,9,8,7,10,8.71,10,7,9,10,9,8,8,10,8.88,8.8,10,9,7,10,7,10,10,7,8.75,8.78,9,10,8,10,10,10,10,8,9.38,8.93,10,10,9,9,9,8,10,10,9.38,9.02,8,8.85
7.5,7.91,5.62,477.83,6,5,8,8,7,7,6.57,8,8,9,7,6,10,9,9,8.25,7.41,10,7,6,6,7,10,6,7,7.38,7.4,6,8,7,7,10,7,9,7,7.62,7.46,8,6,8,8,8,7,7,9,7.62,7.49,8,7.57
8.42,7.85,5.61,432.41,7,5,8,5,5,7,6.14,5,6,5,5,6,8,6,6,5.88,6.01,9,6,8,5,6,9,7,7,7.12,6.38,7,6,7,8,8,8,6,7,7.12,6.57,6,6,6,9,6,8,6,6,6.62,6.58,5,6.31
6.3,7.8,7.18,465.15,5,8,8,5,5,7,6.29,7,6,6,5,7,8,6,7,6.5,6.39,8,8,6,10,6,8,7,6,7.38,6.72,9,6,8,8,9,8,5,9,7.75,6.98,6,8,8,9,9,6,5,8,7.38,7.06,9,7.38
9.72,5.62,7.4,632.99,7,6,9,7,7,7,7.0,8,9,6,7,6,10,8,6,7.5,7.25,9,7,10,5,9,8,7,10,8.12,7.54,8,7,7,8,8,7,8,6,7.38,7.5,7,5,8,7,7,5,7,8,6.75,7.35,8,7.46
6.31,6.7,5.54,543.9,6,7,6,8,10,7,7.0,7,8,7,10,7,8,6,10,7.88,7.44,7,9,6,6,9,6,9,5,7.12,7.33,9,6,8,6,6,10,6,7,7.25,7.31,7,7,7,6,6,7,7,7,6.75,7.2,6,7.0
6.35,6.82,7.65,640.6,6,7,8,8,7,8,7.29,6,7,8,7,8,9,7,7,7.38,7.33,8,6,7,5,6,9,6,7,6.75,7.14,7,6,6,6,8,6,6,7,6.5,6.98,7,8,6,7,5,6,6,5,6.25,6.83,6,6.69
5.81,6.44,6.62,592.96,5,7,7,7,9,6,6.86,8,5,7,9,9,7,6,9,7.5,7.18,5,5,6,6,6,6,5,7,5.75,6.7,6,8,8,8,5,7,7,6,6.88,6.75,7,7,7,8,9,8,8,9,7.88,6.97,7,6.98
9.59,9.58,9.33,668.98,8,9,6,7,7,8,7.43,7,9,6,9,8,7,7,7,7.5,7.46,8,7,5,9,8,7,6,5,6.88,7.27,6,7,8,7,8,6,6,8,7.0,7.2,7,8,6,8,7,8,8,6,7.25,7.21,7,7.18
7.65,6.24,5.31,602.16,5,7,8,8,8,8,7.14,6,9,9,6,8,9,9,5,7.62,7.38,9,6,8,7,8,9,7,7,7.62,7.46,7,8,8,7,10,8,8,8,8.0,7.6,8,8,8,8,9,7,7,10,8.12,7.7,8,7.75
8.74,8.94,9.63,850.17,9,8,10,8,8,9,8.86,8,9,7,9,10,9,9,10,8.88,8.87,9,10,10,10,10,10,9,10,9.75,9.16,10,10,8,9,9,10,10,7,9.12,9.15,9,10,8,7,9,9,10,10,9.0,9.12,10,9.27
8.72,8.1,9.97,924.25,8,10,10,10,10,9,9.29,7,8,9,9,9,8,8,9,8.38,8.83,10,8,10,9,9,8,7,9,8.75,8.81,8,10,8,10,9,7,9,9,8.75,8.79,9,8,10,10,9,10,9,8,9.12,8.86,8,8.71
7.77,7.63,6.1,422.03,7,8,8,6,5,5,6.43,8,7,5,6,8,9,5,7,6.88,6.65,9,8,7,8,8,8,7,6,7.62,6.98,7,6,7,8,9,8,5,6,7.0,6.98,6,8,6,9,8,8,7,8,7.5,7.09,9,7.4
7.17,7.26,6.51,477.34,7,5,5,5,7,6,6.0,6,5,6,7,7,7,8,6,6.5,6.25,5,8,5,6,6,6,9,5,6.25,6.25,9,7,7,7,5,10,7,8,7.5,6.56,8,8,7,6,7,8,7,6,7.12,6.67,8,6.89
7.39,6.31,5.87,538.18,7,8,5,5,7,6,6.43,7,8,5,6,8,9,7,6,7.0,6.71,6,6,7,6,8,6,5,7,6.38,6.6,6,8,6,7,7,6,8,6,6.75,6.64,9,8,6,6,7,6,8,7,7.12,6.74,8,6.95
7.71,6.4,6.42,402.4,8,6,5,6,8,8,7.0,5,8,8,8,9,10,7,8,7.88,7.44,7,5,5,6,9,7,6,6,6.38,7.09,6,6,7,7,7,5,7,7,6.5,6.94,7,7,8,7,8,7,7,7,7.25,7.0,9,7.33
8.96,7.52,5.88,440.05,6,7,5,5,6,6,6.14,7,7,5,5,7,7,5,6,6.12,6.13,6,8,6,7,6,5,9,5,6.5,6.25,8,5,8,5,7,7,5,6,6.38,6.29,5,6,8,5,8,6,6,8,6.5,6.33,9,6.77
8.13,8.72,9.49,903.1,10,10,9,10,9,10,9.57,10,10,9,9,9,9,9,9,9.25,9.41,8,9,9,10,9,9,8,9,8.88,9.23,8,9,8,9,8,7,10,7,8.25,8.99,8,8,9,9,8,8,8,9,8.38,8.87,7,8.56
8.35,7.17,6.48,562.02,5,7,5,8,9,7,6.71,6,6,8,7,7,8,9,6,7.12,6.92,7,7,6,7,7,6,7,7,6.75,6.86,7,6,8,8,7,5,6,9,7.0,6.9,5,8,7,9,9,6,5,10,7.38,6.99,10,7.49
9.75,8.54,9.29,723.58,6,7,7,8,7,7,6.86,5,8,7,10,8,7,9,9,7.88,7.37,7,10,10,8,7,8,9,9,8.5,7.75,9,6,8,8,7,8,6,7,7.38,7.65,6,6,7,6,7,7,7,7,6.62,7.45,7,7.37
6.18,6.04,6.26,614.6,6,7,5,7,8,8,6.57,5,6,8,8,7,5,10,7,7.0,6.79,6,8,7,7,6,7,7,8,7.0,6.86,7,8,7,7,5,6,7,8,6.88,6.86,9,7,7,7,6,7,9,7,7.38,6.97,7,6.97
6.63,6.42,6.18,622.82,6,7,8,6,6,5,6.29,7,8,5,6,6,7,7,5,6.38,6.33,10,5,7,7,7,9,6,8,7.38,6.68,6,6,6,8,9,6,7,5,6.62,6.67,5,7,6,8,6,8,5,7,6.5,6.63,5,6.36
5.02,5.21,7.93,519.16,9,8,7,7,8,7,7.86,8,9,9,7,8,9,9,6,8.12,7.99,7,9,10,10,8,8,8,9,8.62,8.2,9,8,9,10,8,8,7,9,8.5,8.27,8,8,10,10,9,8,9,10,9.0,8.42,9,8.52
9.4,9.04,9.64,657.06,6,6,8,6,6,5,6.57,7,8,7,8,8,10,5,10,7.88,7.23,10,10,9,5,9,10,10,9,9.0,7.82,10,7,7,8,9,10,6,7,8.0,7.86,8,7,7,6,6,8,8,6,7.0,7.69,5,7.24
5.98,5.7,6.08,424.73,6,5,7,5,7,6,6.14,8,6,6,7,9,8,5,7,7.0,6.57,7,9,9,5,7,8,8,10,7.88,7.01,8,8,7,7,7,9,8,7,7.62,7.16,7,8,8,8,7,7,7,8,7.5,7.23,6,7.02
6.7,7.53,5.95,462.86,6,8,5,8,9,9,7.29,9,8,10,9,6,9,10,9,8.75,8.02,6,8,8,8,8,5,9,9,7.62,7.89,9,8,7,7,7,10,7,8,7.88,7.88,8,7,8,8,6,7,9,7,7.5,7.81,7,7.67
6.03,5.83,7.33,451.23,8,8,7,6,8,8,7.43,8,7,8,6,7,8,8,7,7.38,7.4,9,6,6,7,6,10,7,5,7.0,7.27,5,7,8,8,9,5,8,7,7.12,7.23,7,5,8,6,9,8,7,9,7.38,7.26,8,7.38
8.69,7.06,7.33,520.42,9,7,8,8,8,10,8.29,6,9,9,7,8,9,8,8,8.0,8.14,9,6,8,5,9,9,7,7,7.5,7.93,6,8,8,7,9,6,8,9,7.62,7.85,8,8,7,8,7,5,9,6,7.25,7.73,6,7.44
7.61,6.02,6.77,527.81,5,7,5,5,5,7,6.0,6,7,7,5,8,6,9,7,6.88,6.44,5,7,6,6,6,5,7,5,5.88,6.25,7,8,6,6,5,6,6,6,6.25,6.25,9,6,6,6,5,7,10,5,6.75,6.35,6,6.29
5.16,5.26,6.67,473.1,8,7,5,8,9,10,7.86,5,8,7,10,7,9,8,10,8.0,7.93,7,5,8,7,8,8,5,8,7.0,7.62,5,8,7,6,6,6,7,8,6.62,7.37,7,7,8,5,7,6,8,8,7.0,7.3,6,7.08
7.89,7.44,6.36,591.8,8,7,5,5,5,6,6.14,7,6,5,7,8,5,5,5,6.0,6.07,6,5,5,9,5,5,6,5,5.75,5.96,6,7,6,7,6,6,6,6,6.25,6.04,8,6,6,6,6,6,8,5,6.38,6.1,6,6.09
5.42,6.65,5.59,544.13,5,8,8,8,9,8,7.29,6,9,9,8,6,9,10,8,8.12,7.7,10,8,9,7,7,9,8,8,8.25,7.89,8,8,5,8,10,7,9,6,7.62,7.82,9,7,6,7,6,6,10,7,7.25,7.71,7,7.59
5.36,5.79,6.95,491.41,5,7,6,7,9,7,6.86,6,5,6,8,9,7,5,7,6.62,6.74,7,8,8,6,6,6,6,9,7.0,6.83,8,7,7,7,6,9,8,8,7.5,6.99,7,8,5,7,6,8,7,7,6.88,6.97,7,6.98
6.64,7.07,6.3,463.59,5,7,8,8,8,10,7.71,8,8,9,9,9,10,8,10,8.88,8.3,8,10,7,9,8,6,10,7,8.12,8.24,9,9,9,9,8,8,10,7,8.62,8.33,10,8,10,10,9,10,10,10,9.62,8.59,9,8.66
8.87,9.46,9.52,796.17,8,8,9,8,7,8,8.0,10,9,8,9,8,7,8,10,8.62,8.31,10,5,10,9,8,10,6,9,8.38,8.33,5,5,6,7,9,5,5,7,6.12,7.78,6,6,8,6,7,6,7,8,6.75,7.57,6,7.31
6.77,5.62,5.45,481.24,6,7,5,7,9,6,6.71,8,5,8,8,7,6,10,10,7.75,7.23,7,5,9,6,5,6,5,8,6.38,6.95,5,7,7,8,6,5,7,6,6.38,6.81,7,7,7,8,7,7,6,6,6.88,6.82,8,7.02
6.07,7.63,6.73,481.64,7,5,5,5,6,5,5.71,5,5,6,5,7,7,8,7,6.25,5.98,7,5,7,6,5,6,6,6,6.0,5.99,5,6,7,7,8,6,5,8,6.5,6.12,5,7,6,7,7,7,5,7,6.38,6.17,7,6.31
6.19,6.71,5.75,416.52,6,6,5,7,8,8,6.71,6,7,7,8,6,7,8,10,7.38,7.05,5,6,9,7,8,5,6,8,6.75,6.95,5,6,6,6,5,5,5,5,5.38,6.56,7,6,8,5,6,7,6,7,6.5,6.54,6,6.45
6.64,7.52,7.21,392.05,8,6,7,8,9,8,7.71,9,6,8,8,9,8,9,10,8.38,8.05,7,10,5,7,7,6,9,5,7.0,7.7,9,7,6,7,7,8,5,6,6.88,7.49,8,7,6,7,5,8,7,6,6.75,7.34,6,7.12
5.06,7.04,7.55,610.81,9,8,8,8,10,9,8.71,8,9,10,9,10,8,9,9,9.0,8.86,9,10,8,7,9,8,10,9,8.75,8.82,9,8,8,10,8,8,7,8,8.25,8.68,9,9,9,10,6,8,9,7,8.38,8.62,6,8.18
5.97,6.06,6.15,489.03,7,8,7,7,6,7,7.14,9,6,9,5,8,5,10,6,7.25,7.2,8,8,5,6,5,9,9,5,6.88,7.09,7,8,8,6,9,7,8,7,7.5,7.19,8,6,8,6,7,6,8,6,6.88,7.13,7,7.11
6.42,6.79,7.74,627.22,6,8,6,8,10,9,8.0,8,10,10,9,10,10,10,8,9.38,8.69,5,9,6,8,8,5,10,7,7.25,8.21,10,10,9,10,6,9,9,9,9.0,8.41,9,9,10,9,10,8,9,10,9.25,8.58,10,8.81
9.97,7.83,5.74,435.89,8,5,5,7,9,7,6.71,5,6,9,9,8,7,8,8,7.5,7.11,5,6,5,6,6,5,5,6,5.5,6.57,7,7,7,8,6,7,8,6,7.0,6.68,7,7,8,8,6,5,6,5,6.5,6.64,5,6.37
6.55,5.1,7.79,639.42,8,6,9,7,9,8,7.57,6,6,9,9,6,8,7,9,7.5,7.54,8,10,7,6,5,7,9,5,7.12,7.4,9,7,7,8,6,8,6,6,7.12,7.33,6,6,6,7,8,6,6,7,6.5,7.16,7,7.14
7.39,7.87,6.93,601.19,5,8,8,5,7,5,6.57,7,8,6,7,8,7,7,9,7.38,6.98,8,8,10,10,7,8,9,9,8.62,7.52,6,6,8,8,8,5,5,6,6.5,7.27,7,5,5,8,8,8,7,8,7.0,7.21,9,7.51
8.26,7.32,6.14,498.64,7,7,6,7,9,7,7.29,7,8,7,7,9,8,9,6,7.62,7.45,7,5,8,7,9,8,6,6,7.0,7.3,6,6,8,6,6,7,6,8,6.62,7.13,5,7,7,7,8,6,5,8,6.62,7.03,7,7.02
8.9,8.99,5.0,464.08,8,6,8,6,8,8,7.29,7,7,5,8,7,9,5,8,7.0,7.14,7,5,9,5,7,8,5,8,6.75,7.01,5,7,6,8,8,6,7,6,6.62,6.91,7,8,6,7,6,6,5,5,6.25,6.78,6,6.65
5.57,6.03,6.76,594.16,8,7,6,7,7,6,6.71,5,6,9,6,6,6,9,7,6.75,6.73,7,9,9,9,5,6,9,8,7.75,7.07,7,8,7,6,8,6,9,7,7.25,7.12,9,7,6,5,5,6,8,6,6.5,6.99,6,6.83
5.29,5.89,7.75,432.23,7,5,5,8,6,6,6.14,6,8,8,10,6,10,8,9,8.12,7.13,7,6,8,7,8,8,5,8,7.12,7.13,5,8,6,8,7,5,8,7,6.75,7.03,7,7,7,8,6,7,8,7,7.12,7.05,7,7.04
5.99,6.59,5.23,522.97,7,7,6,6,7,7,6.57,8,7,8,5,6,8,7,7,7.0,6.79,6,9,8,7,7,5,9,6,7.12,6.9,9,7,6,6,5,8,8,5,6.75,6.86,5,8,8,5,7,8,6,6,6.62,6.81,6,6.68
6.05,6.49,5.88,561.75,6,6,8,5,6,6,6.29,7,6,7,7,7,8,9,9,7.5,6.89,7,8,7,6,7,8,9,6,7.25,7.01,7,8,8,7,6,6,9,8,7.38,7.1,8,6,6,8,6,6,8,5,6.62,7.01,6,6.84
6.25,5.84,6.57,578.25,7,7,6,5,6,6,6.0,7,7,6,6,6,7,6,7,6.5,6.25,6,9,5,8,8,7,10,5,7.25,6.58,8,6,7,7,7,9,7,7,7.25,6.75,5,8,6,8,7,6,6,6,6.5,6.7,7,6.75
6.93,6.35,6.29,391.78,5,5,7,7,7,6,6.14,8,7,7,5,6,8,5,6,6.5,6.32,8,10,7,5,6,9,9,5,7.38,6.67,9,7,7,8,9,10,6,7,7.88,6.98,6,7,7,9,7,7,6,6,6.88,6.96,7,6.96
6.2,6.21,5.86,529.52,5,7,6,7,6,7,6.57,7,6,8,7,10,5,9,7,7.38,6.98,6,6,7,5,7,5,5,6,5.88,6.61,6,5,7,6,6,5,6,5,5.75,6.4,5,8,6,5,7,6,5,6,6.0,6.32,6,6.26
