ten_gpa,twelth_gpa,colz_gpa,nimcet_marks,psqt_gpa,me_gpa,co_gpa,pscp_gpa,pscp_lab_gpa,foss_lab_gpa,sgpa1,afm_gpa,ds_gpa,ss_gpa,oops_gpa,aad_gpa,ds_lab_gpa,ss_lab_gpa,oops_lab_gpa,sgpa2,cgpa2,os_gpa,dbms_gpa,wt_gpa,ospm_gpa,ads_gpa,os_lab_gpa,dbms_lab_gpa,wt_lab_gpa,sgpa3,cgpa3,pdwdm_gpa,ccn_gpa,se_gpa,ooad_gpa,dos_gpa,ke_lab_gpa,ccn_lab_gpa,set_lab_gpa,sgpa4,cgpa4,nps_gpa,uc_gpa,cc_gpa,dpsa_gpa,stt_gpa,seminar_viva_gpa,nps_lab_gpa,stt_lab_gpa,sgpa5,cgpa5,project_gpa,cgpa_final
7.85,7.29,5.98,397.83,6,8,7,7,5,6,6.71,7,8,6,8,7,7,8,9,7.5,7.11,8,6,7,8,9,8,6,8,7.5,7.24,7,8,6,7,8,7,8,6,7.12,7.21,8,8,7,8,7,8,8,7,7.62,7.29,7,7.24
7.45,6.46,7.72,573.47,9,9,6,6,7,6,7.29,7,8,6,6,10,9,6,8,7.5,7.39,7,5,6,9,8,7,6,5,6.62,7.14,5,7,7,8,6,5,8,8,6.75,7.04,6,6,7,7,6,8,5,5,6.25,6.88,6,6.73
6.46,7.62,7.89,526.64,7,8,9,6,6,7,7.29,8,8,8,6,8,7,7,7,7.38,7.33,10,7,7,8,7,9,6,6,7.5,7.39,7,6,6,7,9,7,6,7,6.88,7.26,5,6,7,5,7,7,6,6,6.12,7.03,6,6.86
6.84,6.79,7.34,609.66,6,6,8,9,9,10,7.71,6,7,9,8,6,9,8,9,7.75,7.73,9,9,9,7,7,10,9,10,8.75,8.07,9,10,9,9,10,10,10,10,9.62,8.46,10,9,10,9,9,9,9,8,9.12,8.59,8,8.49
8.79,8.95,8.23,783.74,8,10,8,9,9,9,8.71,9,10,9,8,8,8,8,9,8.62,8.67,8,6,7,9,10,7,6,6,7.38,8.24,7,8,8,9,7,6,8,8,7.62,8.08,6,9,10,10,9,8,6,8,8.25,8.12,8,8.1
8.57,9.76,8.74,886.24,9,10,9,9,8,10,9.0,9,10,8,9,9,10,8,10,9.12,9.06,9,8,10,10,10,9,8,9,9.12,9.08,6,9,9,10,9,7,10,9,8.62,8.96,8,10,10,9,8,8,9,6,8.5,8.87,9,8.89
7.05,7.59,5.68,593.4,6,6,6,8,9,7,6.86,7,5,9,8,8,7,10,7,7.62,7.24,8,6,10,8,5,9,5,8,7.38,7.29,5,5,5,7,7,6,5,5,5.62,6.87,5,8,7,8,6,6,6,7,6.62,6.82,6,6.68
5.72,7.43,5.4,609.79,5,8,8,5,6,5,6.0,8,8,7,6,7,7,9,5,7.12,6.56,9,7,8,7,8,10,8,8,8.12,7.08,8,7,8,8,8,7,7,8,7.62,7.22,6,7,7,7,7,7,6,7,6.75,7.12,7,7.1
6.18,6.79,6.72,644.79,8,8,6,6,5,5,6.29,6,7,8,5,8,9,7,5,6.88,6.58,6,5,8,7,8,6,5,8,6.62,6.6,6,7,8,6,6,5,6,9,6.62,6.6,7,8,8,6,9,6,8,10,7.75,6.83,7,6.86
7.62,7.77,7.2,413.64,8,7,5,6,5,5,6.14,7,5,6,6,9,5,5,5,6.0,6.07,6,5,9,8,6,6,5,10,6.88,6.34,5,8,6,7,6,6,8,6,6.5,6.38,9,7,6,8,7,6,10,8,7.62,6.63,6,6.52
7.35,7.37,5.23,531.68,7,5,5,8,10,7,7.14,7,7,9,7,9,8,10,7,8.0,7.57,5,8,7,5,8,5,9,8,6.88,7.34,9,7,8,7,6,9,6,6,7.25,7.32,6,8,8,6,8,8,6,9,7.38,7.33,7,7.28
8.97,8.59,8.95,657.95,8,6,7,9,10,10,8.14,9,9,9,8,6,8,8,7,8.0,8.07,9,8,9,7,10,8,7,8,8.25,8.13,9,8,10,9,10,9,7,9,8.88,8.32,7,9,8,10,9,7,6,9,8.12,8.28,10,8.57
9.34,7.78,6.97,539.06,6,7,5,6,6,6,6.29,7,7,8,7,10,7,10,9,8.12,7.2,6,7,9,9,7,6,8,8,7.5,7.3,8,7,7,7,7,9,5,6,7.0,7.23,8,7,6,8,6,6,6,5,6.5,7.08,5,6.73
6.27,7.66,6.07,391.63,6,7,7,7,7,9,7.14,8,8,8,7,9,7,9,9,8.12,7.63,8,8,7,6,9,7,7,6,7.25,7.5,8,6,6,6,9,7,6,6,6.75,7.32,6,7,8,5,6,8,7,5,6.5,7.15,7,7.13
6.26,6.34,7.86,551.09,7,9,9,7,9,8,8.29,8,7,8,7,10,6,10,7,7.88,8.08,8,8,7,8,6,7,9,8,7.62,7.93,8,7,7,8,6,8,7,7,7.25,7.76,6,8,7,9,7,7,7,6,7.12,7.63,7,7.53
7.84,7.26,7.52,484.78,7,6,6,7,6,8,6.57,7,8,9,9,6,9,7,8,7.88,7.23,8,5,6,5,6,8,6,5,6.12,6.86,6,7,7,6,9,6,6,8,6.88,6.86,7,7,7,5,6,8,7,7,6.75,6.84,7,6.87
6.62,5.01,5.04,487.36,6,5,5,6,8,7,6.14,7,7,5,6,5,7,5,6,6.0,6.07,7,8,8,7,7,5,7,7,7.0,6.38,8,7,8,7,8,6,8,8,7.5,6.66,7,6,8,8,7,7,7,8,7.25,6.78,8,6.98
5.11,6.63,6.8,520.08,8,8,5,7,7,8,7.14,8,7,9,9,5,5,9,7,7.38,7.26,5,5,8,9,6,5,5,8,6.38,6.97,6,8,6,8,5,5,9,7,6.75,6.91,6,7,8,6,5,8,7,5,6.5,6.83,6,6.69
5.12,7.34,6.65,421.01,8,7,6,6,6,5,6.14,5,8,8,6,6,9,9,5,7.0,6.57,8,5,7,6,7,7,6,6,6.5,6.55,5,8,6,7,8,5,8,6,6.62,6.57,7,8,7,6,7,6,8,6,6.88,6.63,7,6.69
7.12,5.82,5.67,402.88,7,8,8,7,6,6,7.0,9,9,8,7,5,10,10,7,8.12,7.56,8,5,8,8,9,8,5,9,7.5,7.54,5,6,6,6,6,5,7,6,5.88,7.12,6,8,6,6,7,7,6,8,6.75,7.05,8,7.21
6.21,6.22,7.59,547.44,6,6,8,6,6,8,6.57,8,7,7,5,6,6,7,7,6.62,6.6,7,8,6,7,6,7,6,6,6.62,6.6,8,7,8,7,5,8,8,8,7.38,6.8,6,8,7,7,9,8,5,10,7.5,6.94,10,7.45
8.84,7.73,7.04,566.63,8,8,9,8,10,8,8.57,10,10,7,7,8,10,6,5,7.88,8.23,9,7,8,7,9,8,8,8,8.0,8.15,7,8,8,9,8,7,7,8,7.75,8.05,7,10,8,8,8,8,6,7,7.75,7.99,8,7.99
7.22,7.57,5.8,515.41,5,8,7,5,5,7,6.29,6,5,6,6,8,7,8,6,6.5,6.39,5,10,9,10,5,6,9,10,8.0,6.93,9,6,8,8,5,9,6,7,7.25,7.01,5,8,6,6,9,5,5,8,6.5,6.91,10,7.42
8.05,9.46,8.39,718.23,9,9,9,6,5,5,7.0,8,8,7,8,5,9,7,10,7.75,7.38,8,10,10,9,8,8,10,9,9.0,7.92,9,6,7,7,8,10,7,5,7.38,7.78,7,8,5,7,6,5,6,7,6.38,7.5,7,7.42
6.28,5.57,5.36,644.41,6,5,8,7,8,6,6.43,6,8,6,6,5,8,8,7,6.75,6.59,7,9,9,6,8,7,10,9,8.12,7.1,9,8,8,7,6,10,8,8,8.0,7.32,8,5,6,6,9,6,7,10,7.12,7.28,8,7.4
8.69,9.77,8.36,895.37,8,10,5,9,9,8,8.14,10,9,8,10,10,8,8,10,9.12,8.63,7,7,8,10,8,7,6,8,7.62,8.29,7,8,8,10,5,8,8,9,7.88,8.19,7,8,10,10,8,10,8,9,8.75,8.3,9,8.42
7.47,7.86,6.67,577.3,6,7,8,7,6,6,6.43,6,5,6,6,6,6,8,7,6.25,6.34,8,5,7,9,5,8,5,6,6.62,6.43,6,8,6,7,6,5,8,5,6.38,6.42,7,7,8,8,5,7,8,6,7.0,6.54,6,6.45
5.84,5.75,6.0,566.67,6,5,8,8,10,7,7.43,8,9,10,6,8,7,10,6,8.0,7.71,10,9,6,6,9,10,8,5,7.88,7.77,9,7,7,8,10,9,7,8,8.12,7.86,8,6,8,7,6,6,7,7,6.88,7.66,7,7.55
5.91,6.2,6.59,398.81,8,5,7,8,7,7,7.14,5,9,8,7,9,8,8,9,7.88,7.51,7,8,10,6,9,5,8,10,7.88,7.63,9,6,8,6,6,9,7,9,7.5,7.6,7,8,8,6,7,7,7,7,7.12,7.5,8,7.59
6.24,6.66,7.25,429.03,8,5,6,6,6,8,6.57,5,5,8,7,5,6,10,8,6.75,6.66,8,8,9,5,5,8,7,8,7.25,6.86,7,6,6,7,8,8,7,6,6.88,6.86,7,7,7,6,7,8,7,8,7.12,6.91,8,7.1
7.2,7.82,7.33,592.43,9,8,6,9,9,10,8.29,9,10,9,8,5,8,10,8,8.38,8.33,6,5,8,9,10,7,5,7,7.12,7.93,5,8,8,6,7,5,8,7,6.75,7.63,8,7,8,6,8,8,7,9,7.62,7.63,7,7.53
8.97,7.37,6.99,488.43,7,5,7,7,6,6,6.57,6,8,6,6,10,9,8,5,7.25,6.91,7,6,6,5,7,6,5,6,6.0,6.61,6,6,6,8,7,5,6,5,6.12,6.49,5,7,8,9,6,5,6,6,6.5,6.49,6,6.41
6.82,5.25,5.38,607.0,8,7,7,7,8,8,7.57,7,7,6,6,7,6,8,7,6.75,7.16,6,10,10,8,6,5,9,9,7.88,7.4,9,5,6,6,7,9,6,7,6.88,7.27,5,8,8,7,6,6,6,5,6.38,7.09,6,6.91
6.29,7.3,7.51,475.66,8,6,5,7,6,7,6.57,7,6,8,9,6,5,10,10,7.62,7.1,6,8,5,5,6,5,7,6,6.0,6.73,7,8,6,8,5,6,8,7,6.88,6.77,7,6,6,9,7,5,8,6,6.75,6.76,8,6.97
7.27,6.32,6.17,592.68,7,8,6,7,8,8,7.14,8,9,8,9,7,10,9,10,8.75,7.95,5,6,6,8,9,5,5,5,6.12,7.34,5,7,6,7,5,5,6,7,6.0,7.0,8,7,6,8,6,7,8,5,6.88,6.98,6,6.82
6.19,6.43,5.72,457.69,5,7,5,5,5,6,5.86,6,7,5,6,7,6,5,6,6.0,5.93,6,7,8,9,7,5,6,7,6.88,6.25,8,7,7,6,5,7,8,7,6.88,6.4,6,7,7,6,7,7,6,7,6.62,6.45,7,6.54
7.97,7.86,5.32,563.4,8,8,7,8,8,7,7.43,5,8,7,10,6,10,6,9,7.62,7.52,6,10,6,8,8,7,9,5,7.38,7.48,10,6,6,6,6,8,6,6,6.75,7.29,7,7,5,5,7,7,8,8,6.75,7.19,7,7.15
6.78,7.69,5.66,491.52,7,8,6,7,8,8,7.43,7,9,6,8,7,7,8,10,7.75,7.59,8,7,7,9,9,8,6,7,7.62,7.6,8,7,6,8,8,9,7,5,7.25,7.51,7,6,8,8,5,6,6,5,6.38,7.29,6,7.07
5.65,6.35,6.28,438.64,8,8,8,5,7,6,6.71,6,8,5,6,6,10,5,5,6.38,6.55,9,6,8,10,9,8,5,8,7.88,6.99,5,8,6,6,7,5,9,5,6.38,6.84,8,6,6,5,6,6,8,5,6.25,6.72,6,6.6
5.57,6.63,6.34,479.08,5,7,8,7,8,8,6.86,6,6,8,6,6,5,7,8,6.5,6.68,8,8,10,8,7,7,8,10,8.25,7.2,8,7,6,6,9,8,8,6,7.25,7.21,6,6,7,7,7,7,7,7,6.75,7.12,7,7.1
7.49,7.02,6.66,561.41,5,8,6,5,7,5,6.29,7,7,5,7,9,8,5,7,6.88,6.58,8,5,9,7,8,9,6,10,7.75,6.97,6,6,8,6,7,7,6,8,6.75,6.92,6,7,6,6,8,6,5,7,6.38,6.81,7,6.84
8.95,8.89,8.7,794.02,8,10,9,9,8,9,8.71,7,9,9,10,9,9,10,10,9.12,8.92,10,9,8,9,8,10,8,7,8.62,8.82,8,9,10,9,10,9,9,10,9.25,8.93,10,9,8,9,10,10,9,10,9.38,9.02,10,9.18
9.53,9.93,5.44,542.57,5,6,6,8,10,9,7.0,6,7,10,8,7,9,10,8,8.12,7.56,8,8,10,6,8,7,7,9,7.88,7.67,8,6,8,7,8,8,7,9,7.62,7.66,5,8,8,6,8,6,6,9,7.0,7.52,7,7.44
7.31,7.51,5.55,592.25,7,7,8,7,7,8,7.29,6,7,9,7,7,8,10,8,7.75,7.52,10,7,10,9,6,9,7,9,8.38,7.81,7,7,6,7,10,6,8,5,7.0,7.6,5,6,8,6,5,8,6,5,6.12,7.31,6,7.09
5.84,5.23,7.27,645.71,6,7,7,9,8,9,7.86,8,8,7,8,8,8,6,8,7.62,7.74,8,6,10,6,7,7,5,9,7.25,7.58,7,8,6,8,9,6,9,6,7.38,7.53,8,8,7,9,6,5,8,6,7.12,7.45,6,7.2
5.11,6.48,5.06,606.79,5,8,5,8,7,9,6.86,6,8,9,10,5,8,8,9,7.88,7.37,7,6,7,8,9,7,6,6,7.0,7.25,7,7,8,7,8,6,8,9,7.5,7.31,8,7,8,5,7,6,7,8,7.0,7.25,5,6.87
5.59,7.3,5.83,529.55,5,7,6,7,9,6,6.43,6,5,7,9,7,6,7,8,6.88,6.65,6,8,5,6,6,5,9,6,6.38,6.56,7,6,5,8,5,7,6,5,6.12,6.45,6,6,6,9,6,7,5,7,6.5,6.46,5,6.22
6.56,7.41,7.19,471.34,6,6,8,7,9,7,7.14,6,9,8,7,7,9,8,7,7.62,7.38,10,10,8,7,8,9,10,9,8.88,7.88,10,7,6,6,10,8,6,5,7.25,7.72,8,6,6,6,7,7,7,8,6.88,7.55,5,7.13
6.14,7.21,5.14,394.01,6,8,6,8,7,9,7.0,7,9,9,9,7,9,10,8,8.5,7.75,6,9,10,9,8,6,8,9,8.12,7.87,8,7,8,7,6,7,7,8,7.25,7.72,7,7,8,8,9,8,7,9,7.88,7.75,8,7.79
9.66,8.23,9.59,790.27,8,8,8,10,8,10,8.57,9,8,10,10,9,9,9,9,9.12,8.85,8,7,7,7,9,8,6,7,7.38,8.36,7,8,8,8,8,8,9,7,7.88,8.24,8,5,8,7,8,8,7,6,7.12,8.01,9,8.18
7.47,7.75,7.39,429.91,7,8,8,8,7,9,7.57,8,6,9,7,7,8,9,7,7.62,7.6,7,8,7,8,5,7,7,6,6.88,7.36,8,6,8,7,6,9,5,7,7.0,7.27,6,5,8,6,8,6,6,8,6.62,7.14,7,7.12
8.71,7.63,5.14,607.45,8,8,6,7,8,7,7.29,7,7,9,7,7,7,8,7,7.38,7.33,6,8,5,10,7,7,8,6,7.12,7.26,9,8,6,5,5,9,7,6,6.88,7.17,8,6,7,5,6,7,7,7,6.62,7.06,5,6.71
6.14,7.35,7.26,475.46,8,8,7,7,9,7,7.29,6,9,9,7,7,10,9,6,7.88,7.58,8,9,7,10,10,7,7,6,8.0,7.72,9,7,8,8,8,9,6,6,7.62,7.7,5,8,7,7,7,8,6,7,6.88,7.53,6,7.28
6.11,6.88,6.22,536.74,8,5,7,7,8,7,7.0,5,7,8,6,7,8,10,5,7.0,7.0,9,9,5,6,8,9,9,6,7.62,7.21,9,7,6,8,8,9,7,6,7.5,7.28,8,8,7,7,5,7,7,6,6.88,7.2,5,6.83
5.61,7.85,6.73,620.99,8,7,5,6,5,5,6.0,6,7,8,7,6,9,9,8,7.5,6.75,6,5,6,7,7,6,6,7,6.25,6.58,5,7,6,7,7,6,8,6,6.5,6.56,6,7,7,8,5,7,5,6,6.38,6.53,6,6.44
5.82,6.46,5.19,636.65,5,5,5,6,7,7,5.71,5,8,6,7,5,8,8,7,6.75,6.23,5,7,6,5,9,6,8,6,6.5,6.32,8,8,6,7,6,9,9,5,7.25,6.55,8,6,7,7,5,8,8,6,6.88,6.62,5,6.35
5.49,5.73,7.31,645.1,9,7,6,9,8,9,8.14,6,9,8,10,10,10,8,9,8.75,8.45,6,9,6,6,9,5,8,7,7.0,7.96,8,7,6,8,7,7,7,5,6.88,7.69,8,6,7,8,6,8,9,6,7.25,7.6,7,7.5
6.97,6.01,6.29,432.2,8,5,7,8,8,9,7.57,7,7,8,6,8,9,7,5,7.12,7.35,7,5,10,5,7,7,6,10,7.12,7.27,5,6,7,8,7,6,6,8,6.62,7.11,7,8,5,7,8,7,8,8,7.25,7.14,9,7.45
7.69,7.71,6.34,627.73,6,7,5,6,7,6,6.29,5,6,6,5,8,8,6,7,6.38,6.33,6,7,6,6,7,5,7,7,6.38,6.35,7,5,5,6,7,8,5,5,6.0,6.26,5,7,6,6,6,8,6,7,6.38,6.29,7,6.4
5.1,6.48,7.23,435.55,5,5,6,8,7,9,6.86,5,8,8,10,10,7,8,10,8.25,7.55,6,6,7,7,9,5,7,7,6.75,7.29,7,6,5,7,6,5,7,5,6.0,6.96,6,7,8,7,5,6,7,5,6.38,6.85,6,6.71
5.71,7.74,7.25,472.98,8,8,8,8,10,10,8.57,9,8,9,10,6,9,9,9,8.62,8.6,7,10,8,7,9,6,10,9,8.25,8.48,10,9,10,10,8,8,10,9,9.25,8.67,8,8,10,10,8,9,7,9,8.62,8.66,9,8.72
7.27,5.93,5.51,611.08,6,8,5,7,9,8,7.29,8,9,7,6,6,10,7,6,7.38,7.33,6,7,9,9,8,7,7,10,7.88,7.52,5,6,7,7,6,5,7,8,6.38,7.23,5,7,8,8,8,7,6,8,7.12,7.21,9,7.51
8.9,8.79,9.78,759.58,9,8,5,6,7,6,6.71,5,7,5,5,6,5,6,5,5.5,6.11,6,6,6,9,6,5,5,6,6.12,6.11,6,6,7,6,7,5,6,7,6.25,6.15,6,8,7,6,8,8,5,8,7.0,6.32,8,6.6
7.77,7.01,7.83,580.26,7,8,8,6,6,8,7.43,7,7,5,6,10,9,7,5,7.0,7.21,9,10,6,9,6,8,10,6,8.0,7.48,10,7,8,8,8,10,6,9,8.25,7.67,7,8,6,8,8,7,7,9,7.5,7.64,9,7.86
6.16,6.21,7.33,599.17,6,9,9,9,8,9,8.43,8,9,9,9,8,8,10,10,8.88,8.65,8,8,9,10,10,6,8,10,8.62,8.64,7,8,10,8,8,8,9,10,8.5,8.61,8,9,8,9,9,8,8,9,8.5,8.59,10,8.82
7.09,7.72,6.95,547.73,7,7,7,7,9,9,7.71,9,7,6,6,9,5,7,5,6.75,7.23,9,6,7,9,8,7,5,6,7.12,7.19,7,7,7,8,10,6,8,8,7.62,7.3,8,6,7,8,8,5,9,7,7.25,7.29,8,7.41
7.33,7.11,7.58,430.58,8,6,6,8,9,8,7.43,8,8,7,7,7,8,5,8,7.25,7.34,7,6,7,8,7,8,7,5,6.88,7.19,7,8,8,8,8,6,7,9,7.62,7.29,7,7,6,7,9,8,8,8,7.5,7.34,8,7.45
9.68,5.07,5.97,393.49,6,6,5,7,7,7,6.57,7,8,7,6,8,10,5,8,7.38,6.98,6,8,9,5,9,6,7,10,7.5,7.15,8,6,8,6,5,8,5,7,6.62,7.02,6,6,7,7,7,7,7,8,6.88,6.99,8,7.16
6.26,7.9,6.16,471.28,7,6,6,8,7,10,7.43,9,7,9,9,7,8,9,9,8.38,7.9,7,6,10,6,8,6,7,9,7.38,7.73,6,7,8,6,7,7,5,9,6.88,7.52,7,8,6,5,7,6,7,8,6.75,7.36,8,7.47
7.64,7.82,6.04,586.49,5,7,7,7,7,9,6.86,8,8,6,6,7,9,7,6,7.12,6.99,7,9,10,9,9,6,8,10,8.5,7.49,7,5,8,6,7,8,5,9,6.88,7.34,6,6,7,7,6,7,5,6,6.25,7.12,7,7.1
5.68,6.83,5.82,481.85,6,8,6,6,7,5,6.14,8,8,5,7,5,7,6,7,6.62,6.38,6,5,9,8,9,5,5,10,7.12,6.63,6,7,6,8,5,6,6,6,6.25,6.53,8,8,6,7,7,6,9,8,7.38,6.7,7,6.75
7.47,6.47,5.72,527.71,8,8,6,7,8,8,7.57,6,8,7,8,10,9,9,8,8.12,7.85,8,7,6,6,8,8,6,6,6.88,7.52,8,6,8,6,8,9,7,9,7.62,7.55,6,6,8,7,9,6,5,8,6.88,7.41,9,7.68
8.32,7.43,6.83,496.9,7,8,5,6,5,6,6.43,8,6,5,7,9,8,6,8,7.12,6.77,5,7,8,7,6,6,7,7,6.62,6.72,6,6,7,6,5,7,6,6,6.12,6.57,5,8,7,5,7,8,5,7,6.5,6.56,8,6.8
6.72,6.68,6.0,554.92,8,6,5,7,7,6,6.29,5,6,7,7,7,7,6,6,6.38,6.33,5,8,7,8,6,5,9,7,6.88,6.52,7,7,7,8,5,6,5,7,6.5,6.51,6,7,7,7,8,5,5,8,6.62,6.53,7,6.61
8.28,8.61,9.46,676.82,8,7,6,6,8,7,7.29,8,8,5,8,8,7,6,6,7.0,7.14,7,5,10,8,8,8,6,9,7.62,7.3,6,7,5,5,8,6,8,5,6.25,7.04,7,5,8,6,5,5,8,5,6.12,6.86,6,6.71
5.92,7.91,7.7,612.34,7,8,7,6,6,7,7.0,7,9,8,7,10,8,10,7,8.25,7.62,9,8,7,6,10,8,8,7,7.88,7.71,9,6,6,6,9,7,6,5,6.75,7.47,5,6,7,7,7,7,5,7,6.38,7.25,8,7.38
7.27,6.87,8.0,669.17,6,8,7,6,6,6,6.86,5,6,7,6,8,5,6,7,6.25,6.55,7,6,6,9,6,8,7,5,6.75,6.62,7,8,8,5,5,6,9,8,7.0,6.71,9,7,7,6,9,8,9,9,8.0,6.97,8,7.14
9.45,7.72,6.48,420.15,5,5,6,7,9,7,6.43,6,6,7,8,6,7,9,9,7.25,6.84,6,7,7,7,6,6,7,6,6.5,6.73,8,6,7,6,7,8,5,6,6.62,6.7,7,7,7,6,6,8,5,6,6.5,6.66,7,6.72
5.32,6.55,6.48,440.76,8,8,7,8,8,8,7.57,6,7,7,9,6,9,7,8,7.38,7.48,9,7,5,8,6,9,8,6,7.25,7.4,8,7,8,6,9,9,6,7,7.5,7.43,6,7,8,5,7,5,6,6,6.25,7.19,6,6.99
7.22,6.27,5.63,543.88,7,7,7,8,7,6,7.0,6,8,10,9,8,10,9,8,8.5,7.75,9,6,6,5,7,9,7,5,6.75,7.42,6,6,6,7,9,7,7,6,6.75,7.25,7,7,6,6,7,7,8,7,6.88,7.18,7,7.15
7.24,7.49,6.31,580.78,5,6,5,8,7,9,6.71,5,8,8,9,8,10,10,10,8.5,7.61,6,7,9,8,8,7,7,9,7.62,7.61,6,8,8,7,6,6,7,6,6.75,7.4,9,6,5,6,9,6,8,9,7.25,7.37,9,7.64
8.85,9.91,8.73,716.4,8,6,9,8,10,8,8.29,6,9,10,7,10,9,9,8,8.5,8.39,10,7,7,5,8,9,6,8,7.5,8.1,6,10,10,8,10,6,9,9,8.5,8.2,10,10,7,9,9,6,9,9,8.62,8.28,10,8.57
9.84,7.77,7.01,519.99,7,6,6,7,8,8,7.14,8,8,8,7,7,10,9,8,8.12,7.63,8,6,5,5,8,8,6,6,6.5,7.25,6,7,7,8,8,6,7,7,7.0,7.19,8,8,7,7,7,8,9,8,7.75,7.3,8,7.42
8.0,7.88,7.66,517.07,7,6,9,7,9,9,7.86,9,7,6,7,7,8,8,5,7.12,7.49,8,9,10,8,6,8,8,9,8.25,7.74,8,6,7,7,9,7,7,7,7.25,7.62,7,8,7,8,8,7,8,7,7.5,7.6,9,7.83
8.73,7.27,5.68,508.66,6,6,6,6,7,5,6.29,5,8,6,8,8,8,5,10,7.25,6.77,7,8,7,5,8,8,7,6,7.0,6.85,7,8,8,7,7,8,7,9,7.62,7.04,8,7,6,6,9,8,9,8,7.62,7.16,8,7.3
9.95,9.13,8.87,816.32,9,8,9,9,8,9,8.71,9,6,9,8,9,6,8,10,8.12,8.42,10,8,8,9,6,9,9,7,8.25,8.36,9,8,9,8,10,9,9,9,8.88,8.49,8,10,8,7,10,9,9,10,8.88,8.57,10,8.81
9.7,9.29,9.08,896.63,10,9,8,9,8,8,8.86,10,9,9,10,9,10,9,9,9.38,9.12,6,6,6,10,8,5,6,5,6.5,8.25,5,6,7,6,7,6,7,6,6.25,7.75,7,7,7,5,6,6,7,5,6.25,7.45,5,7.04
5.0,7.62,5.49,594.15,7,5,5,8,9,7,7.0,8,7,9,10,7,7,9,9,8.25,7.62,5,5,9,6,7,5,6,9,6.5,7.25,6,7,6,8,5,5,7,5,6.12,6.97,7,8,7,9,7,8,6,6,7.25,7.02,6,6.85
